Latitude,Longitude,Mean_daily_range,Volume,Supply_air_temperature,Nb_of_people,Relative_humidity,Space_type,Wall_area,Door_area,Partition_area,Roof_area,Window_area,Skylight_area,Spaces,Cooling_load,Heating_load
42,71,9,9572,12,48,46,0,663,48,0,1584,0,0,13,147154,111998
42,71,9,13572,12,65,46,0,876,46,0,2119,0,0,13,196856,149294
42,71,9,10504,12,52,46,0,701,44,0,1699,0,0,10,158195,120459
42,71,9,10542,12,54,46,0,756,26,0,1757,0,0,7,163455,124490
42,71,9,3068,12,19,46,0,449,46,0,632,0,0,10,60235,50357
42,71,9,11838,12,60,46,0,802,74,0,1968,0,0,16,181831,138372
42,71,9,5977,12,34,46,0,607,26,0,1118,0,0,7,105564,82646
42,71,9,12758,12,62,46,0,778,52,0,2044,0,0,13,188477,141776
42,71,9,1530,12,11,46,0,341,38,0,350,0,0,10,33938,30317
42,71,9,4739,12,28,46,0,577,28,0,923,0,0,11,87846,70477
42,71,9,34894,12,141,46,0,1203,46,0,4579,0,0,15,420161,303248
42,71,9,2677,12,18,46,0,450,30,0,575,0,0,13,55497,46319
42,71,9,4846,12,30,46,0,616,44,0,971,0,0,11,92314,74775
42,71,9,67520,12,232,46,0,1497,30,0,7492,0,0,8,684939,483145
42,71,9,24696,12,110,46,0,1089,28,0,3572,0,0,12,330054,240751
42,71,9,4076,12,25,46,0,516,46,0,814,0,0,11,76592,62455
42,71,9,4836,12,28,46,0,534,18,0,914,0,0,3,87163,69161
42,71,9,2686,12,17,46,0,397,22,0,546,0,0,6,52324,43623
42,71,9,3076,12,20,46,0,513,50,0,660,0,0,16,63620,53755
42,71,9,106766,12,322,46,0,1742,32,0,10386,0,0,9,945926,660689
42,71,9,13649,12,67,46,0,835,48,0,2185,0,0,12,202929,151934
42,71,9,5623,12,34,46,0,709,32,0,1121,0,0,8,106044,85967
42,71,9,2652,12,17,46,0,409,16,0,544,0,0,4,52380,43809
42,71,9,7405,12,40,46,0,641,44,0,1319,0,0,12,123272,95898
42,71,9,4859,12,28,46,0,537,46,0,932,0,0,12,87988,69712
42,71,9,4399,12,27,46,0,598,28,0,889,0,0,10,85041,69095
42,71,9,13519,12,65,46,0,793,48,0,2135,0,0,13,196987,147705
42,71,9,2777,12,18,46,0,455,24,0,590,0,0,8,56186,47551
42,71,9,3150,12,20,46,0,457,26,0,646,0,0,7,61314,50771
42,71,9,3010,12,20,46,0,514,28,0,641,0,0,6,62721,52719
42,71,9,6812,12,36,46,0,567,50,0,1186,0,0,12,110401,85838
42,71,9,2591,12,17,46,0,433,22,0,552,0,0,8,53338,44487
42,71,9,171,12,2,46,0,132,2,0,47,0,0,2,5620,6638
42,71,9,31359,12,126,46,0,1082,54,0,4108,0,0,11,377229,272496
42,71,9,6329,12,35,46,0,575,56,0,1143,0,0,14,107063,83251
42,71,9,6262,12,34,46,0,551,68,0,1110,0,0,15,103565,80942
42,71,9,5329,12,31,46,0,555,42,0,1003,0,0,10,95006,75263
42,71,9,20758,12,93,46,0,965,38,0,3011,0,0,9,277820,204289
42,71,9,44469,12,179,46,0,1441,42,0,5820,0,0,12,534117,383857
42,71,9,5722,12,32,46,0,558,40,0,1054,0,0,13,98845,78056
42,71,9,1030,12,8,46,0,287,22,0,245,0,0,6,24082,22460
42,71,9,2060,12,14,46,0,391,30,0,453,0,0,8,44162,37853
42,71,9,11931,12,59,46,0,761,46,0,1929,0,0,13,178365,134771
42,71,9,12465,12,60,46,0,745,36,0,1956,0,0,7,181580,136834
42,71,9,2133,12,14,46,0,367,18,0,448,0,0,5,43552,36747
42,71,9,3068,12,20,46,0,500,26,0,652,0,0,8,62773,52254
42,71,9,12280,12,60,46,0,761,32,0,1960,0,0,6,181560,136699
42,71,9,1647,12,12,46,0,453,18,0,392,0,0,7,39377,35723
42,71,9,534,12,4,46,0,192,24,0,132,0,0,5,13620,13868
42,71,9,4802,12,28,46,0,514,40,0,908,0,0,11,85179,67909
42,71,9,5537,12,33,46,0,639,26,0,1080,0,0,9,101480,81281
42,71,9,3175,12,20,46,0,495,26,0,662,0,0,9,63298,53122
42,71,9,16345,12,83,46,0,1037,22,0,2687,0,0,6,251048,187154
42,71,9,15506,12,76,46,0,910,26,0,2467,0,0,10,229538,170930
